iter	Passed	Remaining
0	9	2871
1	16	2431
2	22	2276
3	29	2208
4	37	2213
5	44	2166
6	50	2120
7	57	2084
8	64	2091
9	71	2072
10	78	2055
11	84	2034
12	91	2027
13	98	2012
14	105	2010
15	112	1997
16	119	1983
17	125	1970
18	132	1955
19	138	1942
20	145	1932
21	152	1923
22	158	1912
23	165	1901
24	171	1891
25	178	1880
26	184	1869
27	191	1864
28	198	1856
29	205	1847
30	212	1841
31	218	1834
32	226	1829
33	232	1819
34	239	1813
35	246	1806
36	252	1797
37	259	1789
38	265	1779
39	272	1773
40	279	1767
41	286	1760
42	293	1752
43	299	1745
44	307	1740
45	314	1738
46	321	1731
47	329	1727
48	336	1722
49	342	1714
50	349	1706
51	355	1697
52	362	1690
53	369	1682
54	375	1674
55	382	1667
56	389	1659
57	395	1650
58	402	1642
59	408	1634
60	415	1626
61	421	1619
62	431	1622
63	438	1615
64	444	1607
65	451	1599
66	457	1591
67	464	1584
68	470	1575
69	477	1568
70	484	1561
71	490	1553
72	497	1546
73	504	1539
74	510	1532
75	517	1524
76	523	1517
77	530	1509
78	537	1502
79	543	1495
80	550	1487
81	556	1479
82	564	1475
83	572	1470
84	578	1464
85	585	1456
86	592	1451
87	599	1444
88	606	1437
89	613	1431
90	620	1424
91	626	1416
92	633	1410
93	640	1403
94	647	1396
95	653	1389
96	660	1383
97	668	1377
98	674	1370
99	682	1364
100	688	1357
101	695	1350
102	702	1344
103	710	1338
104	716	1330
105	725	1327
106	732	1321
107	740	1316
108	747	1309
109	754	1303
110	761	1297
111	769	1290
112	775	1283
113	782	1276
114	789	1269
115	795	1262
116	802	1255
117	811	1251
118	818	1245
119	826	1239
120	832	1232
121	839	1225
122	847	1218
123	854	1212
124	860	1205
125	867	1197
126	873	1190
127	882	1185
128	888	1178
129	895	1171
130	902	1163
131	908	1156
132	915	1149
133	921	1141
134	928	1135
135	935	1127
136	941	1120
137	948	1113
138	955	1106
139	961	1099
140	968	1091
141	974	1084
142	980	1076
143	987	1069
144	994	1062
145	1001	1056
146	1008	1049
147	1015	1042
148	1021	1035
149	1028	1028
150	1035	1022
151	1042	1014
152	1048	1007
153	1055	1000
154	1062	994
155	1069	987
156	1076	980
157	1083	973
158	1090	966
159	1097	960
160	1103	953
161	1110	946
162	1117	939
163	1123	931
164	1130	925
165	1137	918
166	1144	911
167	1151	904
168	1157	897
169	1164	890
170	1170	883
171	1177	876
172	1183	869
173	1190	862
174	1196	854
175	1203	847
176	1210	841
177	1216	833
178	1222	826
179	1229	819
180	1236	812
181	1242	805
182	1249	798
183	1255	791
184	1261	784
185	1268	777
186	1275	770
187	1281	763
188	1288	756
189	1294	749
190	1301	742
191	1307	735
192	1314	728
193	1320	721
194	1327	714
195	1334	707
196	1340	700
197	1347	693
198	1353	686
199	1360	680
200	1367	673
201	1373	666
202	1380	659
203	1386	652
204	1393	645
205	1400	638
206	1406	631
207	1413	625
208	1420	618
209	1427	611
210	1433	604
211	1440	597
212	1446	590
213	1452	583
214	1459	576
215	1465	569
216	1471	563
217	1478	556
218	1484	549
219	1491	542
220	1497	535
221	1504	528
222	1511	521
223	1517	514
224	1524	508
225	1531	501
226	1538	494
227	1545	487
228	1551	481
229	1559	474
230	1565	467
231	1572	460
232	1578	454
233	1586	447
234	1592	440
235	1599	433
236	1606	426
237	1613	420
238	1619	413
239	1626	406
240	1632	399
241	1639	393
242	1647	386
243	1653	379
244	1661	372
245	1667	366
246	1674	359
247	1681	352
248	1688	345
249	1695	339
250	1701	332
251	1708	325
252	1715	318
253	1722	311
254	1728	305
255	1736	298
256	1742	291
257	1749	284
258	1756	278
259	1763	271
260	1769	264
261	1776	257
262	1783	250
263	1790	244
264	1797	237
265	1806	230
266	1812	224
267	1819	217
268	1826	210
269	1832	203
270	1839	196
271	1845	190
272	1852	183
273	1858	176
274	1866	169
275	1872	162
276	1880	156
277	1887	149
278	1894	142
279	1901	135
280	1908	129
281	1917	122
282	1924	115
283	1932	108
284	1940	102
285	1948	95
286	1957	88
287	1965	81
288	1973	75
289	1981	68
290	1989	61
291	1997	54
292	2006	47
293	2015	41
294	2024	34
295	2032	27
296	2039	20
297	2046	13
298	2054	6
299	2065	0
